1,1250
2,1270
3,1347
4,1448
5,1448
6,1448
7,1460
8,1461
9,1505
10,1521
11,1530
12,1554
13,1572
14,1572
15,1616
16,1616
17,1616
18,1665
19,1671
20,1671
21,1675
22,1696
23,1708
24,1717
25,1741
26,1742
27,1747
28,1752
29,1766
30,1781
31,1846
32,1879
33,1879
34,1880
35,1881
36,1900
37,1905
38,1905
39,1909
40,1911
41,1927
42,1940
43,1940
44,1940
45,1944
46,1969
47,1971
48,2000
49,2003
50,2003
51,2016
52,2016
53,2016
54,2044
55,2058
56,2058
57,2058
58,2058
59,2058
60,2062
61,2062
62,2062
63,2062
64,2065
65,2065
66,2065
67,2072
68,2072
69,2072
70,2081
71,2095
72,2095
73,2123
74,2130
75,2130
76,2130
77,2130
78,2146
79,2146
80,2146
81,2152
82,2152
83,2156
84,2166
85,2166
86,2166
87,2166
88,2166
89,2166
90,2166
91,2168
92,2200
93,2200
94,2206
95,2209
96,2209
97,2209
98,2229
99,2239
100,2239
101,2239
102,2239
103,2239
104,2239
105,2245
106,2248
107,2258
108,2271
109,2280
110,2280
111,2280
112,2280
113,2293
114,2293
115,2293
116,2293
117,2293
118,2314
119,2314
120,2314
121,2314
122,2314
123,2323
124,2323
125,2326
126,2326
127,2332
128,2333
129,2342
130,2342
131,2353
132,2353
133,2353
134,2353
135,2353
136,2353
